sleep_hours,workload_hours,physical_activity_min,screen_time_hours,social_interaction_hours,water_intake_liters,caffeine_mg,mood_score,breaks_count,stress,energy,productivity
,,106.12152575768219,6.019684585705556,4.766520236980579,2.9188171224865482,299.9843869851363,6.337261362201398,7.438230579088602,medium,high,medium
7.990787839421021,4.176964650583193,76.88205023383792,9.618369829725372,1.427996143283928,3.5602918692434202,517.6560482641559,3.3703580962503086,10.455608389679009,medium,low,medium
8.581728493946725,4.996671307162973,99.08969245040767,8.88592581529431,5.390128516443121,,423.0117894057053,5.916369722773793,6.081399119536798,medium,high,medium
7.713140198216159,3.6108761492598136,33.42036304304494,9.579966053045476,1.8857384892513775,1.3069868146829597,463.1220970791314,5.385828488583868,2.485466422717185,low,low,high
5.29195584997173,8.339819311040536,44.170995053795856,5.9981529300425915,2.8732398579201974,1.4477584472079617,577.3906075437329,4.638800367164876,10.778967721723927,high,medium,medium
4.689192678213185,5.6153891217369845,55.09061502898877,0.1425318219626424,3.587688829129874,1.4951760933375342,411.4379437881113,3.161712692904099,,medium,low,medium
4.634412133042328,4.673711352682808,124.49988633152587,10.081916313789831,3.3916385201238564,3.3156948985502006,72.90429306351626,4.026343002844109,5.458418277222634,high,low,low
7.1821230112673105,8.315881156167688,100.51763176562109,9.17868098265626,4.058621843572912,1.992537231738946,363.1719183336803,2.825752504546804,7.068321137622075,high,low,medium
4.836702861339579,6.318507562873803,87.03735191042587,0.0,3.276539203248688,1.4165009595665734,173.17066440133127,5.786872625155088,14.503669552192846,low,medium,low
5.205118909995604,4.627643614496316,0.0,5.268518632810128,0.5902895823389817,1.541995106359558,423.2588107870853,1.0815415644393755,8.823484660927017,high,medium,high
6.704596780939362,1.1467771268865337,17.66467492362734,6.292496575512358,1.4038751677571082,0.8087032886468295,495.7154959628873,3.2559433121183954,15.784987378982736,high,low,high
